ODB Name,Step,Frame,Part Instance Name,    Node Label,X,Y,Z,Section Name,Material Name,Section Point,   U-Magnitude,          U-U1,          U-U2,          U-U3
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,1,-13.3232,-9,12.1034,NA,NA,,6.63179,-1.67693,0.0213568,6.41624
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,2,-13.3232,-8.5,12.1034,NA,NA,,6.56285,-1.67579,0.016315,6.34527
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,3,-13.3232,-8,12.1034,NA,NA,,6.50031,-1.67505,0.0122172,6.28077
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,4,-13.3232,-7.5,12.1034,NA,NA,,6.44368,-1.67461,0.00893973,6.22227
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,5,-13.3232,-7,12.1034,NA,NA,,6.39238,-1.67437,0.00632892,6.1692
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,6,-13.3232,-6.5,12.1034,NA,NA,,6.34584,-1.67427,0.00425713,6.12099
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,7,-13.3232,-6,12.1034,NA,NA,,6.30361,-1.67424,0.00262359,6.0772
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,8,-13.3232,-5.5,12.1034,NA,NA,,6.26532,-1.67428,0.00135196,6.03747
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,9,-13.3232,-5,12.1034,NA,NA,,6.23073,-1.67434,0.000383862,6.00154
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,10,-13.3232,-4.5,12.1034,NA,NA,,6.19965,-1.67442,-0.000326225,5.96925
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,11,-13.3232,-4,12.1034,NA,NA,,6.17197,-1.6745,-0.000815113,5.94048
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,12,-13.3232,-3.5,12.1034,NA,NA,,6.14762,-1.67459,-0.00111394,5.91515
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,13,-13.3232,-3,12.1034,NA,NA,,6.12654,-1.67467,-0.00125016,5.89322
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,14,-13.3232,-2.5,12.1034,NA,NA,,6.10872,-1.67474,-0.00124904,5.87467
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,15,-13.3232,-2,12.1034,NA,NA,,6.09414,-1.6748,-0.00113445,5.85949
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,16,-13.3232,-1.5,12.1034,NA,NA,,6.0828,-1.67484,-0.000929586,5.84768
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,17,-13.3232,-1,12.1034,NA,NA,,6.0747,-1.67488,-0.000657183,5.83924
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,18,-13.3232,-0.5,12.1034,NA,NA,,6.06984,-1.6749,-0.000339825,5.83418
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,19,-13.3232,0,12.1034,NA,NA,,6.06822,-1.6749,5.18326E-15,5.83249
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,20,-13.3232,0.5,12.1034,NA,NA,,6.06984,-1.6749,0.000339825,5.83418
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,21,-13.3232,1,12.1034,NA,NA,,6.0747,-1.67488,0.000657183,5.83924
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,22,-13.3232,1.5,12.1034,NA,NA,,6.0828,-1.67484,0.000929586,5.84768
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,23,-13.3232,2,12.1034,NA,NA,,6.09414,-1.6748,0.00113445,5.85949
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,24,-13.3232,2.5,12.1034,NA,NA,,6.10872,-1.67474,0.00124904,5.87467
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,25,-13.3232,3,12.1034,NA,NA,,6.12654,-1.67467,0.00125016,5.89322
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,26,-13.3232,3.5,12.1034,NA,NA,,6.14762,-1.67459,0.00111394,5.91515
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,27,-13.3232,4,12.1034,NA,NA,,6.17197,-1.6745,0.000815113,5.94048
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,28,-13.3232,4.5,12.1034,NA,NA,,6.19965,-1.67442,0.000326225,5.96925
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,29,-13.3232,5,12.1034,NA,NA,,6.23073,-1.67434,-0.000383862,6.00154
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,30,-13.3232,5.5,12.1034,NA,NA,,6.26532,-1.67428,-0.00135196,6.03747
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,31,-13.3232,6,12.1034,NA,NA,,6.30361,-1.67424,-0.00262359,6.0772
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,32,-13.3232,6.5,12.1034,NA,NA,,6.34584,-1.67427,-0.00425713,6.12099
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,33,-13.3232,7,12.1034,NA,NA,,6.39238,-1.67437,-0.00632892,6.1692
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,34,-13.3232,7.5,12.1034,NA,NA,,6.44368,-1.67461,-0.00893973,6.22227
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,35,-13.3232,8,12.1034,NA,NA,,6.50031,-1.67505,-0.0122172,6.28077
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,36,-13.3232,8.5,12.1034,NA,NA,,6.56285,-1.67579,-0.016315,6.34527
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,37,-13.3232,9,12.1034,NA,NA,,6.63179,-1.67693,-0.0213568,6.41624
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,38,-12.9819,-9,12.4688,NA,NA,,6.27002,-1.51928,0.0248183,6.08312
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,39,-12.9819,-8.5,12.4688,NA,NA,,6.2007,-1.51815,0.0197213,6.01195
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,40,-12.9819,-8,12.4688,NA,NA,,6.13746,-1.5174,0.0154884,5.94691
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,41,-12.9819,-7.5,12.4688,NA,NA,,6.0799,-1.51693,0.0120007,5.88761
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,42,-12.9819,-7,12.4688,NA,NA,,6.0275,-1.51664,0.00914358,5.83356
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,43,-12.9819,-6.5,12.4688,NA,NA,,5.97979,-1.51648,0.00681155,5.7843
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,44,-12.9819,-6,12.4688,NA,NA,,5.93637,-1.5164,0.0049182,5.73943
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,45,-12.9819,-5.5,12.4688,NA,NA,,5.89693,-1.51638,0.00339469,5.69863
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,46,-12.9819,-5,12.4688,NA,NA,,5.86125,-1.5164,0.00218645,5.66169
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,47,-12.9819,-4.5,12.4688,NA,NA,,5.82916,-1.51643,0.00124952,5.62846
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,48,-12.9819,-4,12.4688,NA,NA,,5.80056,-1.51647,0.000547215,5.59882
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,49,-12.9819,-3.5,12.4688,NA,NA,,5.77538,-1.51652,4.78405E-05,5.57272
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,50,-12.9819,-3,12.4688,NA,NA,,5.75359,-1.51657,-0.000277208,5.55012
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,51,-12.9819,-2.5,12.4688,NA,NA,,5.73516,-1.51662,-0.000454518,5.53099
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,52,-12.9819,-2,12.4688,NA,NA,,5.72008,-1.51665,-0.000509586,5.51535
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,53,-12.9819,-1.5,12.4688,NA,NA,,5.70835,-1.51668,-0.000467224,5.50317
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,54,-12.9819,-1,12.4688,NA,NA,,5.69997,-1.51671,-0.000351953,5.49447
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,55,-12.9819,-0.5,12.4688,NA,NA,,5.69494,-1.51672,-0.000188112,5.48925
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,56,-12.9819,0,12.4688,NA,NA,,5.69326,-1.51673,5.09284E-15,5.48751
C:/Users/srbb21/AppData/Local/Temp/rx18_gr30001521653382.841.odb,RELAX,Increment    105: Step Time =    1.000,SHELL-1,57,-12.9819,0.5,12.4688,NA,NA,,5.69494,-1.51672,0.000188112,5.48925
