Node,x,y,z,Stress (Pa)
1,0.01,0.015,-0.0375,956000000
2,0.01,0.03,-0.0375,1180000000
3,0.01,0.045,-0.0375,1260000000
4,0.01,0.06,-0.0375,1280000000
5,0.01,0.075,-0.0375,1290000000
6,0.01,0.09,-0.0375,1290000000
7,0.01,0.105,-0.0375,1290000000
8,0.01,0.12,-0.0375,1290000000
9,0.01,0.135,-0.0375,1290000000
10,0.01,0.15,-0.0375,1290000000
11,0.01,0.165,-0.0375,1290000000
12,0.01,0.18,-0.0375,1290000000
13,0.01,0.195,-0.0375,1290000000
14,0.01,0.21,-0.0375,1290000000
15,0.01,0.225,-0.0375,1290000000
16,0.01,0.24,-0.0375,1280000000
17,0.01,0.255,-0.0375,1260000000
18,0.01,0.27,-0.0375,1180000000
19,0.01,0.285,-0.0375,956000000
20,0.01,0.015,-0.025,799000000
21,0.01,0.03,-0.025,1110000000
22,0.01,0.045,-0.025,1170000000
23,0.01,0.06,-0.025,1190000000
24,0.01,0.075,-0.025,1190000000
25,0.01,0.09,-0.025,1190000000
26,0.01,0.105,-0.025,1190000000
27,0.01,0.12,-0.025,1190000000
28,0.01,0.135,-0.025,1190000000
29,0.01,0.15,-0.025,1190000000
30,0.01,0.165,-0.025,1190000000
31,0.01,0.18,-0.025,1190000000
32,0.01,0.195,-0.025,1190000000
33,0.01,0.21,-0.025,1190000000
34,0.01,0.225,-0.025,1190000000
35,0.01,0.24,-0.025,1190000000
36,0.01,0.255,-0.025,1170000000
37,0.01,0.27,-0.025,1110000000
38,0.01,0.285,-0.025,799000000
39,0.01,0.015,-0.0125,956000000
40,0.01,0.03,-0.0125,1180000000
41,0.01,0.045,-0.0125,1260000000
42,0.01,0.06,-0.0125,1280000000
43,0.01,0.075,-0.0125,1290000000
44,0.01,0.09,-0.0125,1290000000
45,0.01,0.105,-0.0125,1290000000
46,0.01,0.12,-0.0125,1290000000
47,0.01,0.135,-0.0125,1290000000
48,0.01,0.15,-0.0125,1290000000
49,0.01,0.165,-0.0125,1290000000
50,0.01,0.18,-0.0125,1290000000
51,0.01,0.195,-0.0125,1290000000
52,0.01,0.21,-0.0125,1290000000
53,0.01,0.225,-0.0125,1290000000
54,0.01,0.24,-0.0125,1280000000
